,Unnamed: 0,f1_scores,perc_deleted,dataset
0,0,0.935,0.2,Lee_et_al_Science_HConly
1,1,0.914,0.2,Lee_et_al_Science_HConly
2,2,0.916,0.2,Lee_et_al_Science_HConly
3,3,0.882,0.2,Lee_et_al_Science_HConly
4,4,0.925,0.2,Lee_et_al_Science_HConly
5,5,0.858,0.2,Lee_et_al_Science_HConly
6,6,0.906,0.2,Lee_et_al_Science_HConly
7,7,0.881,0.2,Lee_et_al_Science_HConly
8,8,0.908,0.2,Lee_et_al_Science_HConly
9,9,0.891,0.2,Lee_et_al_Science_HConly
10,10,0.912,0.2,Lee_et_al_Science_HConly
11,11,0.926,0.2,Lee_et_al_Science_HConly
12,12,0.892,0.2,Lee_et_al_Science_HConly
13,13,0.913,0.2,Lee_et_al_Science_HConly
14,14,0.919,0.2,Lee_et_al_Science_HConly
15,15,0.859,0.2,Lee_et_al_Science_HConly
16,16,0.901,0.2,Lee_et_al_Science_HConly
17,17,0.894,0.2,Lee_et_al_Science_HConly
18,18,0.849,0.2,Lee_et_al_Science_HConly
19,19,0.928,0.2,Lee_et_al_Science_HConly
20,20,0.898,0.2,Lee_et_al_Science_HConly
21,21,0.908,0.2,Lee_et_al_Science_HConly
22,22,0.911,0.2,Lee_et_al_Science_HConly
23,23,0.91,0.2,Lee_et_al_Science_HConly
24,24,0.868,0.2,Lee_et_al_Science_HConly
25,25,0.913,0.2,Lee_et_al_Science_HConly
26,26,0.911,0.2,Lee_et_al_Science_HConly
27,27,0.887,0.2,Lee_et_al_Science_HConly
28,28,0.928,0.2,Lee_et_al_Science_HConly
29,29,0.888,0.2,Lee_et_al_Science_HConly
30,30,0.919,0.2,Lee_et_al_Science_HConly
31,31,0.917,0.2,Lee_et_al_Science_HConly
32,32,0.936,0.2,Lee_et_al_Science_HConly
33,33,0.915,0.2,Lee_et_al_Science_HConly
34,34,0.91,0.2,Lee_et_al_Science_HConly
35,35,0.912,0.2,Lee_et_al_Science_HConly
36,36,0.924,0.2,Lee_et_al_Science_HConly
37,37,0.904,0.2,Lee_et_al_Science_HConly
38,38,0.921,0.2,Lee_et_al_Science_HConly
39,39,0.913,0.2,Lee_et_al_Science_HConly
40,40,0.917,0.2,Lee_et_al_Science_HConly
41,41,0.924,0.2,Lee_et_al_Science_HConly
42,42,0.911,0.2,Lee_et_al_Science_HConly
43,43,0.83,0.2,Lee_et_al_Science_HConly
44,44,0.857,0.2,Lee_et_al_Science_HConly
45,45,0.893,0.2,Lee_et_al_Science_HConly
46,46,0.909,0.2,Lee_et_al_Science_HConly
47,47,0.896,0.2,Lee_et_al_Science_HConly
