,Unnamed: 0,f1_scores,perc_deleted,dataset
0,0,0.879,0.15,egad_3hTBAll
1,1,0.911,0.15,egad_3hTBAll
2,2,0.91,0.15,egad_3hTBAll
3,3,0.911,0.15,egad_3hTBAll
4,4,0.915,0.15,egad_3hTBAll
5,5,0.907,0.15,egad_3hTBAll
6,6,0.882,0.15,egad_3hTBAll
7,7,0.908,0.15,egad_3hTBAll
8,8,0.905,0.15,egad_3hTBAll
9,9,0.901,0.15,egad_3hTBAll
10,10,0.906,0.15,egad_3hTBAll
11,11,0.911,0.15,egad_3hTBAll
12,12,0.892,0.15,egad_3hTBAll
13,13,0.912,0.15,egad_3hTBAll
14,14,0.921,0.15,egad_3hTBAll
15,15,0.901,0.15,egad_3hTBAll
16,16,0.922,0.15,egad_3hTBAll
17,17,0.916,0.15,egad_3hTBAll
18,18,0.91,0.15,egad_3hTBAll
19,19,0.905,0.15,egad_3hTBAll
20,20,0.907,0.15,egad_3hTBAll
21,21,0.899,0.15,egad_3hTBAll
22,22,0.885,0.15,egad_3hTBAll
23,23,0.916,0.15,egad_3hTBAll
24,24,0.911,0.15,egad_3hTBAll
25,25,0.899,0.15,egad_3hTBAll
26,26,0.904,0.15,egad_3hTBAll
27,27,0.909,0.15,egad_3hTBAll
28,28,0.901,0.15,egad_3hTBAll
29,29,0.902,0.15,egad_3hTBAll
30,30,0.914,0.15,egad_3hTBAll
31,31,0.907,0.15,egad_3hTBAll
32,32,0.913,0.15,egad_3hTBAll
33,33,0.918,0.15,egad_3hTBAll
34,34,0.89,0.15,egad_3hTBAll
35,35,0.919,0.15,egad_3hTBAll
36,36,0.912,0.15,egad_3hTBAll
37,37,0.883,0.15,egad_3hTBAll
38,38,0.907,0.15,egad_3hTBAll
39,39,0.908,0.15,egad_3hTBAll
40,40,0.904,0.15,egad_3hTBAll
41,41,0.908,0.15,egad_3hTBAll
42,42,0.914,0.15,egad_3hTBAll
43,43,0.909,0.15,egad_3hTBAll
44,44,0.899,0.15,egad_3hTBAll
45,45,0.907,0.15,egad_3hTBAll
46,46,0.908,0.15,egad_3hTBAll
47,47,0.908,0.15,egad_3hTBAll
48,48,0.916,0.15,egad_3hTBAll
49,49,0.908,0.15,egad_3hTBAll
50,50,0.911,0.15,egad_3hTBAll
51,51,0.906,0.15,egad_3hTBAll
52,52,0.908,0.15,egad_3hTBAll
53,53,0.884,0.15,egad_3hTBAll
54,54,0.883,0.15,egad_3hTBAll
55,55,0.911,0.15,egad_3hTBAll
56,56,0.917,0.15,egad_3hTBAll
57,57,0.904,0.15,egad_3hTBAll
58,58,0.912,0.15,egad_3hTBAll
59,59,0.909,0.15,egad_3hTBAll
60,60,0.921,0.15,egad_3hTBAll
61,61,0.904,0.15,egad_3hTBAll
62,62,0.913,0.15,egad_3hTBAll
63,63,0.916,0.15,egad_3hTBAll
64,64,0.921,0.15,egad_3hTBAll
65,65,0.918,0.15,egad_3hTBAll
66,66,0.914,0.15,egad_3hTBAll
67,67,0.908,0.15,egad_3hTBAll
68,68,0.911,0.15,egad_3hTBAll
69,69,0.862,0.15,egad_3hTBAll
70,70,0.908,0.15,egad_3hTBAll
71,71,0.871,0.15,egad_3hTBAll
72,72,0.904,0.15,egad_3hTBAll
73,73,0.904,0.15,egad_3hTBAll
74,74,0.913,0.15,egad_3hTBAll
75,75,0.919,0.15,egad_3hTBAll
76,76,0.918,0.15,egad_3hTBAll
77,77,0.914,0.15,egad_3hTBAll
78,78,0.887,0.15,egad_3hTBAll
79,79,0.911,0.15,egad_3hTBAll
80,80,0.909,0.15,egad_3hTBAll
81,81,0.895,0.15,egad_3hTBAll
82,82,0.905,0.15,egad_3hTBAll
83,83,0.863,0.15,egad_3hTBAll
84,84,0.867,0.15,egad_3hTBAll
85,85,0.917,0.15,egad_3hTBAll
86,86,0.905,0.15,egad_3hTBAll
87,87,0.901,0.15,egad_3hTBAll
88,88,0.911,0.15,egad_3hTBAll
89,89,0.915,0.15,egad_3hTBAll
90,90,0.881,0.15,egad_3hTBAll
91,91,0.922,0.15,egad_3hTBAll
92,92,0.907,0.15,egad_3hTBAll
93,93,0.92,0.15,egad_3hTBAll
94,94,0.903,0.15,egad_3hTBAll
95,95,0.916,0.15,egad_3hTBAll
96,96,0.914,0.15,egad_3hTBAll
97,97,0.895,0.15,egad_3hTBAll
98,98,0.908,0.15,egad_3hTBAll
99,99,0.91,0.15,egad_3hTBAll
100,0,0.903,0.1,egad_3hTBAll
101,1,0.919,0.1,egad_3hTBAll
102,2,0.922,0.1,egad_3hTBAll
103,3,0.908,0.1,egad_3hTBAll
104,4,0.919,0.1,egad_3hTBAll
105,5,0.92,0.1,egad_3hTBAll
106,6,0.918,0.1,egad_3hTBAll
107,7,0.92,0.1,egad_3hTBAll
108,8,0.918,0.1,egad_3hTBAll
109,9,0.916,0.1,egad_3hTBAll
110,10,0.911,0.1,egad_3hTBAll
111,11,0.921,0.1,egad_3hTBAll
112,12,0.888,0.1,egad_3hTBAll
113,13,0.912,0.1,egad_3hTBAll
114,14,0.923,0.1,egad_3hTBAll
115,15,0.919,0.1,egad_3hTBAll
116,16,0.923,0.1,egad_3hTBAll
117,17,0.924,0.1,egad_3hTBAll
118,18,0.921,0.1,egad_3hTBAll
119,19,0.918,0.1,egad_3hTBAll
120,20,0.922,0.1,egad_3hTBAll
121,21,0.905,0.1,egad_3hTBAll
122,22,0.918,0.1,egad_3hTBAll
123,23,0.918,0.1,egad_3hTBAll
124,24,0.904,0.1,egad_3hTBAll
125,25,0.923,0.1,egad_3hTBAll
126,26,0.922,0.1,egad_3hTBAll
127,27,0.915,0.1,egad_3hTBAll
128,28,0.916,0.1,egad_3hTBAll
129,29,0.917,0.1,egad_3hTBAll
130,30,0.923,0.1,egad_3hTBAll
131,31,0.911,0.1,egad_3hTBAll
132,32,0.905,0.1,egad_3hTBAll
133,33,0.918,0.1,egad_3hTBAll
134,34,0.918,0.1,egad_3hTBAll
135,35,0.908,0.1,egad_3hTBAll
136,36,0.924,0.1,egad_3hTBAll
137,37,0.921,0.1,egad_3hTBAll
138,38,0.918,0.1,egad_3hTBAll
139,39,0.922,0.1,egad_3hTBAll
140,40,0.917,0.1,egad_3hTBAll
141,41,0.92,0.1,egad_3hTBAll
142,42,0.92,0.1,egad_3hTBAll
143,43,0.917,0.1,egad_3hTBAll
144,44,0.921,0.1,egad_3hTBAll
145,45,0.888,0.1,egad_3hTBAll
146,46,0.92,0.1,egad_3hTBAll
147,47,0.917,0.1,egad_3hTBAll
148,48,0.92,0.1,egad_3hTBAll
149,49,0.912,0.1,egad_3hTBAll
150,50,0.921,0.1,egad_3hTBAll
151,51,0.921,0.1,egad_3hTBAll
152,52,0.914,0.1,egad_3hTBAll
153,53,0.92,0.1,egad_3hTBAll
154,54,0.921,0.1,egad_3hTBAll
155,55,0.905,0.1,egad_3hTBAll
156,56,0.919,0.1,egad_3hTBAll
157,57,0.912,0.1,egad_3hTBAll
158,58,0.916,0.1,egad_3hTBAll
159,59,0.924,0.1,egad_3hTBAll
160,60,0.902,0.1,egad_3hTBAll
161,61,0.918,0.1,egad_3hTBAll
162,62,0.903,0.1,egad_3hTBAll
163,63,0.913,0.1,egad_3hTBAll
164,64,0.913,0.1,egad_3hTBAll
165,65,0.919,0.1,egad_3hTBAll
166,66,0.908,0.1,egad_3hTBAll
167,67,0.918,0.1,egad_3hTBAll
168,68,0.916,0.1,egad_3hTBAll
169,69,0.921,0.1,egad_3hTBAll
170,70,0.92,0.1,egad_3hTBAll
171,71,0.917,0.1,egad_3hTBAll
172,72,0.923,0.1,egad_3hTBAll
173,73,0.917,0.1,egad_3hTBAll
174,74,0.91,0.1,egad_3hTBAll
175,75,0.92,0.1,egad_3hTBAll
176,76,0.922,0.1,egad_3hTBAll
177,77,0.923,0.1,egad_3hTBAll
178,78,0.921,0.1,egad_3hTBAll
179,79,0.914,0.1,egad_3hTBAll
180,80,0.906,0.1,egad_3hTBAll
181,81,0.916,0.1,egad_3hTBAll
182,82,0.921,0.1,egad_3hTBAll
183,83,0.917,0.1,egad_3hTBAll
184,84,0.917,0.1,egad_3hTBAll
185,85,0.916,0.1,egad_3hTBAll
186,86,0.921,0.1,egad_3hTBAll
187,87,0.917,0.1,egad_3hTBAll
188,88,0.919,0.1,egad_3hTBAll
189,89,0.912,0.1,egad_3hTBAll
190,90,0.914,0.1,egad_3hTBAll
191,91,0.921,0.1,egad_3hTBAll
192,92,0.909,0.1,egad_3hTBAll
193,93,0.91,0.1,egad_3hTBAll
194,94,0.92,0.1,egad_3hTBAll
195,95,0.919,0.1,egad_3hTBAll
196,96,0.919,0.1,egad_3hTBAll
197,97,0.907,0.1,egad_3hTBAll
198,98,0.916,0.1,egad_3hTBAll
199,99,0.923,0.1,egad_3hTBAll
200,0,0.924,0.05,egad_3hTBAll
201,1,0.924,0.05,egad_3hTBAll
202,2,0.922,0.05,egad_3hTBAll
203,3,0.925,0.05,egad_3hTBAll
204,4,0.925,0.05,egad_3hTBAll
205,5,0.924,0.05,egad_3hTBAll
206,6,0.916,0.05,egad_3hTBAll
207,7,0.923,0.05,egad_3hTBAll
208,8,0.926,0.05,egad_3hTBAll
209,9,0.923,0.05,egad_3hTBAll
210,10,0.922,0.05,egad_3hTBAll
211,11,0.917,0.05,egad_3hTBAll
212,12,0.918,0.05,egad_3hTBAll
213,13,0.917,0.05,egad_3hTBAll
214,14,0.922,0.05,egad_3hTBAll
215,15,0.926,0.05,egad_3hTBAll
216,16,0.923,0.05,egad_3hTBAll
217,17,0.922,0.05,egad_3hTBAll
218,18,0.924,0.05,egad_3hTBAll
219,19,0.918,0.05,egad_3hTBAll
220,20,0.924,0.05,egad_3hTBAll
221,21,0.918,0.05,egad_3hTBAll
222,22,0.913,0.05,egad_3hTBAll
223,23,0.927,0.05,egad_3hTBAll
224,24,0.926,0.05,egad_3hTBAll
225,25,0.923,0.05,egad_3hTBAll
226,26,0.918,0.05,egad_3hTBAll
227,27,0.925,0.05,egad_3hTBAll
228,28,0.924,0.05,egad_3hTBAll
229,29,0.912,0.05,egad_3hTBAll
230,30,0.923,0.05,egad_3hTBAll
231,31,0.921,0.05,egad_3hTBAll
232,32,0.923,0.05,egad_3hTBAll
233,33,0.919,0.05,egad_3hTBAll
234,34,0.924,0.05,egad_3hTBAll
235,35,0.924,0.05,egad_3hTBAll
236,36,0.918,0.05,egad_3hTBAll
237,37,0.924,0.05,egad_3hTBAll
