,f1_scores,perc_deleted,dataset
0,0.921,0.3,SmartSeq3_PBMCs
1,0.907,0.3,SmartSeq3_PBMCs
2,0.91,0.3,SmartSeq3_PBMCs
3,0.86,0.3,SmartSeq3_PBMCs
4,0.881,0.3,SmartSeq3_PBMCs
5,0.918,0.3,SmartSeq3_PBMCs
6,0.91,0.3,SmartSeq3_PBMCs
7,0.896,0.3,SmartSeq3_PBMCs
8,0.85,0.3,SmartSeq3_PBMCs
9,0.868,0.3,SmartSeq3_PBMCs
10,0.901,0.3,SmartSeq3_PBMCs
11,0.871,0.3,SmartSeq3_PBMCs
12,0.863,0.3,SmartSeq3_PBMCs
13,0.895,0.3,SmartSeq3_PBMCs
14,0.877,0.3,SmartSeq3_PBMCs
15,0.879,0.3,SmartSeq3_PBMCs
16,0.851,0.3,SmartSeq3_PBMCs
17,0.864,0.3,SmartSeq3_PBMCs
18,0.925,0.3,SmartSeq3_PBMCs
19,0.875,0.3,SmartSeq3_PBMCs
20,0.85,0.3,SmartSeq3_PBMCs
21,0.905,0.3,SmartSeq3_PBMCs
22,0.899,0.3,SmartSeq3_PBMCs
23,0.898,0.3,SmartSeq3_PBMCs
24,0.914,0.3,SmartSeq3_PBMCs
25,0.897,0.3,SmartSeq3_PBMCs
26,0.901,0.3,SmartSeq3_PBMCs
27,0.902,0.3,SmartSeq3_PBMCs
28,0.861,0.3,SmartSeq3_PBMCs
29,0.906,0.3,SmartSeq3_PBMCs
30,0.884,0.3,SmartSeq3_PBMCs
31,0.892,0.3,SmartSeq3_PBMCs
32,0.899,0.3,SmartSeq3_PBMCs
33,0.925,0.3,SmartSeq3_PBMCs
34,0.874,0.3,SmartSeq3_PBMCs
35,0.835,0.3,SmartSeq3_PBMCs
36,0.904,0.3,SmartSeq3_PBMCs
37,0.921,0.3,SmartSeq3_PBMCs
38,0.91,0.3,SmartSeq3_PBMCs
39,0.901,0.3,SmartSeq3_PBMCs
40,0.862,0.3,SmartSeq3_PBMCs
41,0.906,0.3,SmartSeq3_PBMCs
42,0.867,0.3,SmartSeq3_PBMCs
43,0.887,0.3,SmartSeq3_PBMCs
44,0.915,0.3,SmartSeq3_PBMCs
45,0.854,0.3,SmartSeq3_PBMCs
46,0.882,0.3,SmartSeq3_PBMCs
47,0.907,0.3,SmartSeq3_PBMCs
48,0.812,0.3,SmartSeq3_PBMCs
49,0.882,0.3,SmartSeq3_PBMCs
50,0.864,0.3,SmartSeq3_PBMCs
51,0.894,0.3,SmartSeq3_PBMCs
52,0.897,0.3,SmartSeq3_PBMCs
53,0.889,0.3,SmartSeq3_PBMCs
54,0.909,0.3,SmartSeq3_PBMCs
55,0.881,0.3,SmartSeq3_PBMCs
56,0.9,0.3,SmartSeq3_PBMCs
57,0.914,0.3,SmartSeq3_PBMCs
58,0.908,0.3,SmartSeq3_PBMCs
59,0.88,0.3,SmartSeq3_PBMCs
60,0.901,0.3,SmartSeq3_PBMCs
61,0.902,0.3,SmartSeq3_PBMCs
62,0.878,0.3,SmartSeq3_PBMCs
63,0.845,0.3,SmartSeq3_PBMCs
64,0.886,0.3,SmartSeq3_PBMCs
