,Unnamed: 0,f1_scores,perc_withaddednoise,dataset
300,0,0.903,0.15,Lee_et_al_Science_Covidonly
301,1,0.911,0.15,Lee_et_al_Science_Covidonly
302,2,0.899,0.15,Lee_et_al_Science_Covidonly
303,3,0.909,0.15,Lee_et_al_Science_Covidonly
304,4,0.904,0.15,Lee_et_al_Science_Covidonly
305,5,0.912,0.15,Lee_et_al_Science_Covidonly
306,6,0.907,0.15,Lee_et_al_Science_Covidonly
307,7,0.903,0.15,Lee_et_al_Science_Covidonly
308,8,0.913,0.15,Lee_et_al_Science_Covidonly
309,9,0.912,0.15,Lee_et_al_Science_Covidonly
310,10,0.909,0.15,Lee_et_al_Science_Covidonly
311,11,0.91,0.15,Lee_et_al_Science_Covidonly
312,12,0.904,0.15,Lee_et_al_Science_Covidonly
313,13,0.91,0.15,Lee_et_al_Science_Covidonly
314,14,0.905,0.15,Lee_et_al_Science_Covidonly
315,15,0.906,0.15,Lee_et_al_Science_Covidonly
316,16,0.907,0.15,Lee_et_al_Science_Covidonly
317,17,0.908,0.15,Lee_et_al_Science_Covidonly
318,18,0.91,0.15,Lee_et_al_Science_Covidonly
319,19,0.912,0.15,Lee_et_al_Science_Covidonly
320,20,0.907,0.15,Lee_et_al_Science_Covidonly
321,21,0.912,0.15,Lee_et_al_Science_Covidonly
322,22,0.907,0.15,Lee_et_al_Science_Covidonly
323,23,0.901,0.15,Lee_et_al_Science_Covidonly
324,24,0.907,0.15,Lee_et_al_Science_Covidonly
325,25,0.908,0.15,Lee_et_al_Science_Covidonly
326,26,0.907,0.15,Lee_et_al_Science_Covidonly
327,27,0.912,0.15,Lee_et_al_Science_Covidonly
328,28,0.909,0.15,Lee_et_al_Science_Covidonly
329,29,0.912,0.15,Lee_et_al_Science_Covidonly
330,30,0.901,0.15,Lee_et_al_Science_Covidonly
331,31,0.908,0.15,Lee_et_al_Science_Covidonly
332,32,0.903,0.15,Lee_et_al_Science_Covidonly
333,33,0.911,0.15,Lee_et_al_Science_Covidonly
334,34,0.902,0.15,Lee_et_al_Science_Covidonly
335,35,0.911,0.15,Lee_et_al_Science_Covidonly
336,36,0.905,0.15,Lee_et_al_Science_Covidonly
337,37,0.914,0.15,Lee_et_al_Science_Covidonly
338,38,0.905,0.15,Lee_et_al_Science_Covidonly
339,39,0.911,0.15,Lee_et_al_Science_Covidonly
340,40,0.905,0.15,Lee_et_al_Science_Covidonly
341,41,0.907,0.15,Lee_et_al_Science_Covidonly
342,42,0.906,0.15,Lee_et_al_Science_Covidonly
343,43,0.902,0.15,Lee_et_al_Science_Covidonly
344,44,0.903,0.15,Lee_et_al_Science_Covidonly
345,45,0.906,0.15,Lee_et_al_Science_Covidonly
346,46,0.912,0.15,Lee_et_al_Science_Covidonly
347,47,0.899,0.15,Lee_et_al_Science_Covidonly
348,48,0.904,0.15,Lee_et_al_Science_Covidonly
349,49,0.895,0.15,Lee_et_al_Science_Covidonly
350,50,0.911,0.15,Lee_et_al_Science_Covidonly
351,51,0.91,0.15,Lee_et_al_Science_Covidonly
352,52,0.912,0.15,Lee_et_al_Science_Covidonly
353,53,0.909,0.15,Lee_et_al_Science_Covidonly
354,54,0.91,0.15,Lee_et_al_Science_Covidonly
355,55,0.909,0.15,Lee_et_al_Science_Covidonly
356,56,0.905,0.15,Lee_et_al_Science_Covidonly
357,57,0.911,0.15,Lee_et_al_Science_Covidonly
358,58,0.911,0.15,Lee_et_al_Science_Covidonly
359,59,0.902,0.15,Lee_et_al_Science_Covidonly
360,60,0.91,0.15,Lee_et_al_Science_Covidonly
