,f1_scores,perc_withaddednoise,dataset
0,0.864,0.3,Lee_et_al_Science_HConly
1,0.895,0.3,Lee_et_al_Science_HConly
2,0.851,0.3,Lee_et_al_Science_HConly
3,0.925,0.3,Lee_et_al_Science_HConly
4,0.921,0.3,Lee_et_al_Science_HConly
5,0.907,0.3,Lee_et_al_Science_HConly
6,0.903,0.3,Lee_et_al_Science_HConly
7,0.924,0.3,Lee_et_al_Science_HConly
8,0.862,0.3,Lee_et_al_Science_HConly
9,0.87,0.3,Lee_et_al_Science_HConly
10,0.859,0.3,Lee_et_al_Science_HConly
11,0.909,0.3,Lee_et_al_Science_HConly
12,0.908,0.3,Lee_et_al_Science_HConly
13,0.872,0.3,Lee_et_al_Science_HConly
14,0.928,0.3,Lee_et_al_Science_HConly
15,0.916,0.3,Lee_et_al_Science_HConly
16,0.853,0.3,Lee_et_al_Science_HConly
17,0.882,0.3,Lee_et_al_Science_HConly
18,0.918,0.3,Lee_et_al_Science_HConly
19,0.936,0.3,Lee_et_al_Science_HConly
20,0.932,0.3,Lee_et_al_Science_HConly
21,0.929,0.3,Lee_et_al_Science_HConly
22,0.924,0.3,Lee_et_al_Science_HConly
23,0.935,0.3,Lee_et_al_Science_HConly
24,0.934,0.3,Lee_et_al_Science_HConly
25,0.87,0.3,Lee_et_al_Science_HConly
26,0.904,0.3,Lee_et_al_Science_HConly
27,0.895,0.3,Lee_et_al_Science_HConly
28,0.844,0.3,Lee_et_al_Science_HConly
29,0.916,0.3,Lee_et_al_Science_HConly
30,0.922,0.3,Lee_et_al_Science_HConly
31,0.939,0.3,Lee_et_al_Science_HConly
32,0.917,0.3,Lee_et_al_Science_HConly
33,0.914,0.3,Lee_et_al_Science_HConly
34,0.876,0.3,Lee_et_al_Science_HConly
35,0.902,0.3,Lee_et_al_Science_HConly
36,0.921,0.3,Lee_et_al_Science_HConly
37,0.9,0.3,Lee_et_al_Science_HConly
38,0.917,0.3,Lee_et_al_Science_HConly
39,0.924,0.3,Lee_et_al_Science_HConly
40,0.907,0.3,Lee_et_al_Science_HConly
41,0.916,0.3,Lee_et_al_Science_HConly
42,0.864,0.3,Lee_et_al_Science_HConly
43,0.901,0.3,Lee_et_al_Science_HConly
44,0.928,0.3,Lee_et_al_Science_HConly
45,0.907,0.3,Lee_et_al_Science_HConly
46,0.929,0.3,Lee_et_al_Science_HConly
47,0.897,0.3,Lee_et_al_Science_HConly
48,0.821,0.3,Lee_et_al_Science_HConly
49,0.912,0.3,Lee_et_al_Science_HConly
50,0.867,0.3,Lee_et_al_Science_HConly
51,0.93,0.3,Lee_et_al_Science_HConly
52,0.918,0.3,Lee_et_al_Science_HConly
53,0.941,0.3,Lee_et_al_Science_HConly
54,0.938,0.3,Lee_et_al_Science_HConly
55,0.922,0.3,Lee_et_al_Science_HConly
56,0.857,0.3,Lee_et_al_Science_HConly
57,0.928,0.3,Lee_et_al_Science_HConly
58,0.931,0.3,Lee_et_al_Science_HConly
59,0.845,0.3,Lee_et_al_Science_HConly
60,0.894,0.3,Lee_et_al_Science_HConly
61,0.884,0.3,Lee_et_al_Science_HConly
62,0.935,0.3,Lee_et_al_Science_HConly
63,0.883,0.3,Lee_et_al_Science_HConly
64,0.829,0.3,Lee_et_al_Science_HConly
65,0.932,0.3,Lee_et_al_Science_HConly
66,0.903,0.3,Lee_et_al_Science_HConly
67,0.852,0.3,Lee_et_al_Science_HConly
