,f1_scores,perc_withaddednoise,dataset,Unnamed: 0
0,0.919,0.15,egad_3hTBAll,
1,0.914,0.15,egad_3hTBAll,
2,0.908,0.15,egad_3hTBAll,
3,0.906,0.15,egad_3hTBAll,
4,0.914,0.15,egad_3hTBAll,
5,0.923,0.15,egad_3hTBAll,
6,0.921,0.15,egad_3hTBAll,
7,0.909,0.15,egad_3hTBAll,
8,0.924,0.15,egad_3hTBAll,
9,0.905,0.15,egad_3hTBAll,
10,0.921,0.15,egad_3hTBAll,
11,0.92,0.15,egad_3hTBAll,
12,0.921,0.15,egad_3hTBAll,
13,0.92,0.15,egad_3hTBAll,
14,0.917,0.15,egad_3hTBAll,
15,0.922,0.15,egad_3hTBAll,
16,0.914,0.15,egad_3hTBAll,
17,0.92,0.15,egad_3hTBAll,
18,0.913,0.15,egad_3hTBAll,
19,0.921,0.15,egad_3hTBAll,
20,0.914,0.15,egad_3hTBAll,
21,0.923,0.15,egad_3hTBAll,
22,0.917,0.15,egad_3hTBAll,
23,0.91,0.15,egad_3hTBAll,
24,0.918,0.15,egad_3hTBAll,
25,0.921,0.15,egad_3hTBAll,
26,0.907,0.15,egad_3hTBAll,
27,0.917,0.15,egad_3hTBAll,
28,0.92,0.15,egad_3hTBAll,
29,0.895,0.15,egad_3hTBAll,
30,0.91,0.15,egad_3hTBAll,
31,0.916,0.15,egad_3hTBAll,
32,0.92,0.15,egad_3hTBAll,
33,0.923,0.15,egad_3hTBAll,
34,0.917,0.15,egad_3hTBAll,
35,0.919,0.15,egad_3hTBAll,
36,0.925,0.15,egad_3hTBAll,
37,0.906,0.15,egad_3hTBAll,
38,0.919,0.15,egad_3hTBAll,
39,0.917,0.15,egad_3hTBAll,
40,0.922,0.15,egad_3hTBAll,
41,0.924,0.15,egad_3hTBAll,
42,0.925,0.15,egad_3hTBAll,
43,0.918,0.15,egad_3hTBAll,
44,0.915,0.15,egad_3hTBAll,
45,0.919,0.15,egad_3hTBAll,
46,0.913,0.15,egad_3hTBAll,
47,0.919,0.15,egad_3hTBAll,
48,0.924,0.15,egad_3hTBAll,
49,0.92,0.15,egad_3hTBAll,
50,0.913,0.15,egad_3hTBAll,
51,0.911,0.15,egad_3hTBAll,
52,0.92,0.15,egad_3hTBAll,
53,0.925,0.15,egad_3hTBAll,
54,0.915,0.15,egad_3hTBAll,
55,0.915,0.15,egad_3hTBAll,
56,0.912,0.15,egad_3hTBAll,
57,0.902,0.15,egad_3hTBAll,
58,0.923,0.15,egad_3hTBAll,
59,0.919,0.15,egad_3hTBAll,
60,0.922,0.15,egad_3hTBAll,
61,0.922,0.15,egad_3hTBAll,
62,0.92,0.15,egad_3hTBAll,
63,0.919,0.15,egad_3hTBAll,
64,0.892,0.15,egad_3hTBAll,
65,0.92,0.15,egad_3hTBAll,
66,0.922,0.15,egad_3hTBAll,
67,0.914,0.15,egad_3hTBAll,
68,0.914,0.15,egad_3hTBAll,
69,0.91,0.15,egad_3hTBAll,
70,0.919,0.15,egad_3hTBAll,
71,0.909,0.15,egad_3hTBAll,
72,0.907,0.15,egad_3hTBAll,
73,0.923,0.15,egad_3hTBAll,
74,0.917,0.15,egad_3hTBAll,
75,0.916,0.15,egad_3hTBAll,
76,0.919,0.15,egad_3hTBAll,
77,0.913,0.15,egad_3hTBAll,
78,0.914,0.15,egad_3hTBAll,
79,0.919,0.15,egad_3hTBAll,
80,0.922,0.15,egad_3hTBAll,
81,0.924,0.15,egad_3hTBAll,
82,0.924,0.15,egad_3hTBAll,
83,0.924,0.15,egad_3hTBAll,
84,0.922,0.15,egad_3hTBAll,
85,0.915,0.15,egad_3hTBAll,
86,0.923,0.15,egad_3hTBAll,
87,0.913,0.15,egad_3hTBAll,
88,0.924,0.15,egad_3hTBAll,
89,0.918,0.15,egad_3hTBAll,
90,0.914,0.15,egad_3hTBAll,
91,0.919,0.15,egad_3hTBAll,
92,0.918,0.15,egad_3hTBAll,
93,0.917,0.15,egad_3hTBAll,
94,0.911,0.15,egad_3hTBAll,
95,0.92,0.15,egad_3hTBAll,
96,0.92,0.15,egad_3hTBAll,
97,0.923,0.15,egad_3hTBAll,
98,0.918,0.15,egad_3hTBAll,
99,0.917,0.15,egad_3hTBAll,
0,0.922,0.1,egad_3hTBAll,
1,0.922,0.1,egad_3hTBAll,
2,0.921,0.1,egad_3hTBAll,
3,0.925,0.1,egad_3hTBAll,
4,0.922,0.1,egad_3hTBAll,
5,0.926,0.1,egad_3hTBAll,
6,0.917,0.1,egad_3hTBAll,
7,0.918,0.1,egad_3hTBAll,
8,0.92,0.1,egad_3hTBAll,
9,0.924,0.1,egad_3hTBAll,
10,0.916,0.1,egad_3hTBAll,
11,0.925,0.1,egad_3hTBAll,
12,0.922,0.1,egad_3hTBAll,
13,0.923,0.1,egad_3hTBAll,
14,0.922,0.1,egad_3hTBAll,
15,0.922,0.1,egad_3hTBAll,
16,0.92,0.1,egad_3hTBAll,
17,0.924,0.1,egad_3hTBAll,
18,0.914,0.1,egad_3hTBAll,
19,0.918,0.1,egad_3hTBAll,
20,0.919,0.1,egad_3hTBAll,
21,0.92,0.1,egad_3hTBAll,
22,0.926,0.1,egad_3hTBAll,
23,0.923,0.1,egad_3hTBAll,
24,0.922,0.1,egad_3hTBAll,
25,0.912,0.1,egad_3hTBAll,
26,0.925,0.1,egad_3hTBAll,
27,0.926,0.1,egad_3hTBAll,
28,0.914,0.1,egad_3hTBAll,
29,0.921,0.1,egad_3hTBAll,
30,0.911,0.1,egad_3hTBAll,
31,0.926,0.1,egad_3hTBAll,
32,0.922,0.1,egad_3hTBAll,
33,0.918,0.1,egad_3hTBAll,
34,0.922,0.1,egad_3hTBAll,
35,0.919,0.1,egad_3hTBAll,
