,f1_scores,perc_withaddednoise,dataset
0,0.901,0.3,SmartSeq3_PBMCs
1,0.916,0.3,SmartSeq3_PBMCs
2,0.932,0.3,SmartSeq3_PBMCs
3,0.89,0.3,SmartSeq3_PBMCs
4,0.923,0.3,SmartSeq3_PBMCs
5,0.923,0.3,SmartSeq3_PBMCs
6,0.921,0.3,SmartSeq3_PBMCs
7,0.93,0.3,SmartSeq3_PBMCs
8,0.912,0.3,SmartSeq3_PBMCs
9,0.928,0.3,SmartSeq3_PBMCs
10,0.899,0.3,SmartSeq3_PBMCs
11,0.933,0.3,SmartSeq3_PBMCs
12,0.891,0.3,SmartSeq3_PBMCs
13,0.914,0.3,SmartSeq3_PBMCs
14,0.929,0.3,SmartSeq3_PBMCs
15,0.914,0.3,SmartSeq3_PBMCs
16,0.912,0.3,SmartSeq3_PBMCs
17,0.919,0.3,SmartSeq3_PBMCs
18,0.925,0.3,SmartSeq3_PBMCs
19,0.922,0.3,SmartSeq3_PBMCs
20,0.908,0.3,SmartSeq3_PBMCs
21,0.923,0.3,SmartSeq3_PBMCs
22,0.923,0.3,SmartSeq3_PBMCs
23,0.916,0.3,SmartSeq3_PBMCs
24,0.92,0.3,SmartSeq3_PBMCs
25,0.906,0.3,SmartSeq3_PBMCs
26,0.912,0.3,SmartSeq3_PBMCs
27,0.91,0.3,SmartSeq3_PBMCs
28,0.91,0.3,SmartSeq3_PBMCs
29,0.923,0.3,SmartSeq3_PBMCs
30,0.931,0.3,SmartSeq3_PBMCs
31,0.915,0.3,SmartSeq3_PBMCs
32,0.913,0.3,SmartSeq3_PBMCs
33,0.918,0.3,SmartSeq3_PBMCs
34,0.928,0.3,SmartSeq3_PBMCs
35,0.919,0.3,SmartSeq3_PBMCs
36,0.914,0.3,SmartSeq3_PBMCs
37,0.93,0.3,SmartSeq3_PBMCs
38,0.891,0.3,SmartSeq3_PBMCs
39,0.894,0.3,SmartSeq3_PBMCs
40,0.897,0.3,SmartSeq3_PBMCs
41,0.905,0.3,SmartSeq3_PBMCs
42,0.913,0.3,SmartSeq3_PBMCs
43,0.907,0.3,SmartSeq3_PBMCs
44,0.901,0.3,SmartSeq3_PBMCs
45,0.918,0.3,SmartSeq3_PBMCs
46,0.931,0.3,SmartSeq3_PBMCs
47,0.926,0.3,SmartSeq3_PBMCs
48,0.919,0.3,SmartSeq3_PBMCs
49,0.905,0.3,SmartSeq3_PBMCs
50,0.914,0.3,SmartSeq3_PBMCs
51,0.911,0.3,SmartSeq3_PBMCs
52,0.914,0.3,SmartSeq3_PBMCs
53,0.915,0.3,SmartSeq3_PBMCs
54,0.923,0.3,SmartSeq3_PBMCs
55,0.921,0.3,SmartSeq3_PBMCs
56,0.918,0.3,SmartSeq3_PBMCs
57,0.886,0.3,SmartSeq3_PBMCs
58,0.92,0.3,SmartSeq3_PBMCs
59,0.927,0.3,SmartSeq3_PBMCs
60,0.924,0.3,SmartSeq3_PBMCs
61,0.925,0.3,SmartSeq3_PBMCs
62,0.935,0.3,SmartSeq3_PBMCs
63,0.909,0.3,SmartSeq3_PBMCs
64,0.93,0.3,SmartSeq3_PBMCs
65,0.901,0.3,SmartSeq3_PBMCs
66,0.917,0.3,SmartSeq3_PBMCs
67,0.918,0.3,SmartSeq3_PBMCs
68,0.917,0.3,SmartSeq3_PBMCs
69,0.915,0.3,SmartSeq3_PBMCs
70,0.918,0.3,SmartSeq3_PBMCs
71,0.924,0.3,SmartSeq3_PBMCs
72,0.903,0.3,SmartSeq3_PBMCs
73,0.923,0.3,SmartSeq3_PBMCs
74,0.913,0.3,SmartSeq3_PBMCs
75,0.927,0.3,SmartSeq3_PBMCs
76,0.921,0.3,SmartSeq3_PBMCs
77,0.915,0.3,SmartSeq3_PBMCs
78,0.919,0.3,SmartSeq3_PBMCs
79,0.926,0.3,SmartSeq3_PBMCs
80,0.901,0.3,SmartSeq3_PBMCs
81,0.929,0.3,SmartSeq3_PBMCs
82,0.919,0.3,SmartSeq3_PBMCs
83,0.906,0.3,SmartSeq3_PBMCs
84,0.914,0.3,SmartSeq3_PBMCs
85,0.918,0.3,SmartSeq3_PBMCs
86,0.917,0.3,SmartSeq3_PBMCs
87,0.911,0.3,SmartSeq3_PBMCs
88,0.916,0.3,SmartSeq3_PBMCs
89,0.911,0.3,SmartSeq3_PBMCs
90,0.914,0.3,SmartSeq3_PBMCs
91,0.913,0.3,SmartSeq3_PBMCs
92,0.935,0.3,SmartSeq3_PBMCs
93,0.9,0.3,SmartSeq3_PBMCs
94,0.93,0.3,SmartSeq3_PBMCs
95,0.914,0.3,SmartSeq3_PBMCs
96,0.91,0.3,SmartSeq3_PBMCs
97,0.926,0.3,SmartSeq3_PBMCs
98,0.923,0.3,SmartSeq3_PBMCs
99,0.912,0.3,SmartSeq3_PBMCs
0,0.922,0.25,SmartSeq3_PBMCs
1,0.905,0.25,SmartSeq3_PBMCs
2,0.913,0.25,SmartSeq3_PBMCs
3,0.927,0.25,SmartSeq3_PBMCs
4,0.925,0.25,SmartSeq3_PBMCs
5,0.926,0.25,SmartSeq3_PBMCs
6,0.927,0.25,SmartSeq3_PBMCs
7,0.924,0.25,SmartSeq3_PBMCs
8,0.922,0.25,SmartSeq3_PBMCs
9,0.919,0.25,SmartSeq3_PBMCs
10,0.925,0.25,SmartSeq3_PBMCs
11,0.924,0.25,SmartSeq3_PBMCs
12,0.92,0.25,SmartSeq3_PBMCs
13,0.927,0.25,SmartSeq3_PBMCs
14,0.906,0.25,SmartSeq3_PBMCs
15,0.933,0.25,SmartSeq3_PBMCs
16,0.922,0.25,SmartSeq3_PBMCs
17,0.923,0.25,SmartSeq3_PBMCs
18,0.926,0.25,SmartSeq3_PBMCs
19,0.911,0.25,SmartSeq3_PBMCs
